ID_ART,SKLADISCE,LOKACIJA,MIN_ZAL1,TEZA,VISINA,DOLZINA,SIRINA,VOLUMEN,STANDARD,KVALITETA,KALO,PRET_CAS,ROK_IZD1,ROK_UPORAB,SPL_STRAN,KONTROLA_P,SLIKA_PATH,OPIS
9948239,22230,,0,0,0,0,0,0,,,0,"0,0003",,,,1,,
9948240,22230,,0,0,0,0,0,0,,,0,"0,00028",,,,1,,
9948475,22230,,0,0,0,0,0,0,,,0,"0,00027",,,,1,,
9948241,22230,,0,0,0,0,0,0,,,0,"0,00027",,,,1,,
9947171,22230,,0,0,0,0,0,0,,,0,"0,0003",,,,1,,
9944255,22230,,0,0,0,0,0,0,,,0,"0,00028",,,,1,,
9945534,22230,,0,0,0,0,0,0,,,0,"0,00027",,,,1,,
9946032,22230,,0,0,0,0,0,0,,,0,"0,0003",,,,1,,
9944187,22230,,0,0,0,0,0,0,,,0,"0,00028",,,,1,,
9944532,22230,,0,0,0,0,0,0,,,0,"1,00327",,,,1,,
9945912,22230,,0,0,0,0,0,0,,,0,"0,00033",,,,1,,
9944307,22230,,0,0,0,0,0,0,,,0,"0,00031",,,,1,,
9945146,22230,,0,0,0,0,0,0,,,0,"0,00033",,,,1,,
9944235,22230,,0,0,0,0,0,0,,,0,"0,00036",,,,1,,
9944165,22210,,0,0,0,0,0,0,,,0,"0,00034",,,,1,,
9944166,22210,,0,0,0,0,0,0,,,0,"0,00033",,,,1,,
9947473,22230,,0,0,0,0,0,0,,,0,"0,00037",,,,1,,
9945195,22230,,0,0,0,0,0,0,,,0,"0,00037",,,,1,,
9944286,22210,,0,0,0,0,0,0,,,0,"0,00034",,,,1,,
9944312,22230,,0,0,0,0,0,0,,,0,"0,00033",,,,1,,
9947474,22230,,0,0,0,0,0,0,,,0,"0,0004",,,,1,,
9947421,22210,,0,0,0,0,0,0,,,0,"0,0004",,,,1,,
9944167,22210,,0,0,0,0,0,0,,,0,"0,00037",,,,1,,
9944207,22210,,0,0,0,0,0,0,,,0,"0,00034",,,,1,,
9945194,22210,,0,0,0,0,0,0,,,0,"0,0004",,,,1,,
9944308,22210,,0,0,0,0,0,0,,,0,"0,00038",,,,1,,
9944322,22210,,0,0,0,0,0,0,,,0,"0,00037",,,,1,,
9944208,22210,,0,0,0,0,0,0,,,0,"0,00039",,,,1,,
9944213,22230,,0,0,0,0,0,0,,,0,"0,00038",,,,1,,
9944449,22230,,0,0,0,0,0,0,,,0,"0,00056",,,,1,,
9946593,22230,,0,0,0,0,0,0,,,0,"0,00042",,,,1,,
9944524,22230,,0,0,0,0,0,0,,,0,"0,0004",,,,1,,
9948079,22210,,0,0,0,0,0,0,,,0,"0,00141",,,,1,,
9948685,22230,,0,0,0,0,0,0,,,0,"0,00139",,,,1,,
9949523,22230,,0,0,0,0,0,0,,,0,"0,0014",,,,1,,
9947924,22210,,0,0,0,0,0,0,,,0,"0,0017",,,,1,,
9948971,22210,,0,0,0,0,0,0,,,0,"0,00242",,,,1,,
9946551,22210,,0,0,0,0,0,0,,,0,2,,,,1,,
9948231,22230,,0,0,0,0,0,0,,,0,"0,00031",,,,1,,
9947622,22230,,0,0,0,0,0,0,,,0,"0,00033",,,,1,,
9949150,22210,,0,0,0,0,0,0,,,0,"0,00031",,,,1,,
9948074,22210,,0,0,0,0,0,0,,,0,"0,00089",,,,1,,
9947004,22210,,0,0,0,0,0,0,,,0,"0,00252",,,,1,,
9944296,22230,,0,0,0,0,0,0,,,0,"0,00028",,,,1,,
9948098,22230,,0,0,0,0,0,0,,,0,"0,0003",,,,1,,
9945310,22230,,0,0,0,0,0,0,,,0,"0,0003",,,,1,,
9944494,22230,,0,0,0,0,0,0,,,0,"0,00036",,,,1,,
9947851,22230,,0,0,0,0,0,0,,,0,"0,00036",,,,1,,
9945539,22230,,0,0,0,0,0,0,,,0,"0,00034",,,,1,,
9948331,22230,,0,0,0,0,0,0,,,0,"0,00038",,,,1,,
9944457,22230,,0,0,0,0,0,0,,,0,"0,0004",,,,1,,
9945176,22230,,0,0,0,0,0,0,,,0,"0,00038",,,,1,,
9949283,22230,,0,0,0,0,0,0,,,0,"0,0005",,,,1,,
9948771,22230,,0,0,0,0,0,0,,,0,"0,0004",,,,1,,
9948724,22230,,0,0,0,0,0,0,,,0,"0,00044",,,,1,,
9945840,22230,,0,0,0,0,0,0,,,0,"0,00085",,,,1,,
9945678,22230,,0,0,0,0,0,0,,,0,"0,00085",,,,1,,
9945680,22230,,0,0,0,0,0,0,,,0,"0,00091",,,,1,,
9945681,22230,,0,0,0,0,0,0,,,0,"0,00091",,,,1,,
9948572,22210,,0,0,0,0,0,0,,,0,"0,00018",,,,1,,
9948155,22230,,0,0,0,0,0,0,,,0,"0,00044",,,,1,,
9948230,22230,,0,0,0,0,0,0,,,0,"0,00044",,,,1,,
9948138,22230,,0,0,0,0,0,0,,,0,"0,00044",,,,1,,
9946444,22230,,0,0,0,0,0,0,,,0,"0,00045",,,,1,,
9944254,22230,,0,0,0,0,0,0,,,0,"0,00043",,,,1,,
9945930,22230,,0,0,0,0,0,0,,,0,"0,00114",,,,1,,
9945862,22230,,0,0,0,0,0,0,,,0,"0,00114",,,,1,,
9945239,,99,0,0,0,0,0,0,,,0,0,,,,0,,
9944563,22230,,0,0,0,0,0,0,,,0,"0,00036",,,,1,,
9944464,22230,,0,0,0,0,0,0,,,0,"0,0004",,,,1,,
9949256,22230,,0,0,0,0,0,0,,,0,"0,00043",,,,1,,
9945602,22230,,0,0,0,0,0,0,,,0,"0,00031",,,,1,,
9949276,22230,,0,0,0,0,0,0,,,0,"0,00043",,,,1,,
9946788,22230,,0,0,0,0,0,0,,,0,"0,00034",,,,1,,
9944620,22230,,0,0,0,0,0,0,,,0,0,,,,1,,
9946965,22230,,0,0,0,0,0,0,,,0,"0,00042",,,,1,,
9945601,22230,,0,0,0,0,0,0,,,0,"0,00084",,,,1,,
9946791,22230,,0,0,0,0,0,0,,,0,"0,00043",,,,1,,
9946967,22230,,0,0,0,0,0,0,,,0,"0,00049",,,,1,,
9945804,22210,,0,0,0,0,0,0,,,0,0,,,,1,,
9948012,22230,,0,0,0,0,0,0,,,0,"0,00083",,,,1,,
9945524,22210,,0,0,0,0,0,0,,,0,"0,00083",,,,1,,
9948661,22210,,0,0,0,0,0,0,,,0,"0,00139",,,,1,,
9945982,22210,,0,0,0,0,0,0,,,0,"0,00129",,,,1,,
9949501,22210,,0,0,0,0,0,0,,,0,"0,00133",,,,1,,
9947010,22210,,0,0,0,0,0,0,,,0,"0,00259",,,,1,,
9946033,22210,,0,0,0,0,0,0,,,0,"0,00045",,,,1,,
9946036,22210,,0,0,0,0,0,0,,,0,"0,00043",,,,1,,
9944887,22210,,0,0,0,0,0,0,,,0,"0,00041",,,,1,,
9945095,22210,,0,0,0,0,0,0,,,0,"0,00038",,,,1,,
9945850,22210,,0,0,0,0,0,0,,,0,"0,00112",,,,1,,
9948187,22230,,0,0,0,0,0,0,,,0,"0,0003",,,,1,,
9949033,22230,,0,0,0,0,0,0,,,0,"0,00028",,,,1,,
9948567,22230,,0,0,0,0,0,0,,,0,"0,00028",,,,1,,
9947914,,,0,0,0,0,0,0,,,0,"0,0003",,,,1,,
9949492,22230,,0,0,0,0,0,0,,,0,"0,00031",,,,1,,
9948679,22210,,0,0,0,0,0,0,,,0,"0,00137",,,,1,,
9945511,22210,,0,0,0,0,0,0,,,0,"0,00043",,,,1,,
9948713,,99,0,0,0,0,0,0,,,0,"0,00151",,,,0,,
9948993,22210,,0,0,0,0,0,0,,,0,"0,0018",,,,1,,
