ID_DOK;STM;TD;VEZA.1;KONTO
22006627;410;LM;DN22007973;31000
22006670;610;LM;DN22009013;31000
22006634;210;LM;DN22007900;31020
22006636;210;LM;DN22008661;31020
22006648;410;LM;DN22008806;60000
22006628;410;LM;DN22008621;31020
22006677;210;LM;DN22009023;31000
22006647;410;LM;DN22008996;31000
22006639;210;LM;DN22008954;31000
22006686;410;LM;DN22008529;31020
22006653;410;LM;DN22008388;60000
22006654;410;LM;DN22008472;60000
22006618;210;LM;DN22008889;31000
22006609;410;LM;DN22008361;60000
22006658;410;LM;DN22008953;31000
22006673;210;LM;DN22008770;31000
22006684;410;LM;DN22009055;31000
22006646;210;LM;DN22008557;31000
22006640;410;LM;DN22008880;60000
22006648;410;LM;DN22008806;31020
22006626;410;LM;DN22008925;31020
22006659;210;LM;DN22009007;31000
22006628;410;LM;DN22008621;60000
22006635;210;LM;DN22008661;60000
22006634;210;LM;DN22007900;60000
22006612;410;LM;DN22008521;31020
22006616;410;LM;DN22008443;31020
22006661;410;LM;DN22008879;60000
22006655;410;LM;DN22008938;31000
22006621;210;LM;DN22008889;31000
22006625;410;LM;DN22008963;31000
22006648;410;LM;DN22008806;31000
22006636;210;LM;DN22008661;60000
22006633;210;LM;DN22007900;60000
22006620;210;LM;DN22008889;31000
22006619;210;LM;DN22008889;31000
22006608;410;LM;DN22008277;31020
22006675;210;LM;DN22008314;60000
22006692;210;LM;DN22009066;60000
22006608;410;LM;DN22008277;60000
22006686;410;LM;DN22008529;60000
22006598;210;LM;DN22008928;31000
22006682;410;LM;DN22009059;60000
22006678;210;LM;DN22009033;31000
22006606;410;LM;DN22008398;60000
22006667;210;LM;DN22009010;60000
22006604;410;LM;DN22008366;31020
22006597;210;LM;DN22008929;31000
22006610;410;LM;DN22008427;60000
22006671;610;LM;DN22009012;31000
22006693;210;LM;DN22008258;60000
22006626;410;LM;DN22008925;31000
22006626;410;LM;DN22008925;60000
22006599;210;LM;DN22008935;31000
22006601;410;LM;DN22008566;31000
22006600;410;LM;DN22008917;60000
22006629;410;LM;DN22008467;31000
22006598;210;LM;DN22008928;60000
22006696;210;LM;DN22008628;60000
22006615;410;LM;DN22008411;60000
22006632;410;LM;DN22008840;31000
22006630;410;LM;DN22008549;31000
22006631;410;LM;DN22008881;31020
22006598;210;LM;DN22008928;31020
22006617;210;LM;DN22007880;60000
22006616;410;LM;DN22008443;60000
22006605;410;LM;DN22008518;60000
22006607;410;LM;DN22008783;31020
22006613;410;LM;DN22008403;31000
22006612;410;LM;DN22008521;60000
22006610;410;LM;DN22008427;31000
22006614;410;LM;DN22008636;60000
22006604;410;LM;DN22008366;60000
22006602;210;LM;DN22008934;31000
22006603;410;LM;DN22008139;60000
22006602;210;LM;DN22008934;60000
22006602;210;LM;DN22008934;31020
22006623;410;LM;DN22008965;60000
22006622;410;LM;DN22008966;60000
22006611;410;LM;DN22008402;60000
22006624;410;LM;DN22008964;31000
22006676;210;LM;DN22008450;60000
22006674;410;LM;DN22007602;60000
22006672;410;LM;DN22008619;31000
22006681;410;LM;DN22008129;31000
22006680;210;LM;DN22009034;31000
22006679;210;LM;DN22009034;31000
22006667;210;LM;DN22009010;31020
22006666;410;LM;DN22007534;31000
22006665;410;LM;DN22007362;60000
22006670;610;LM;DN22009013;60000
22006669;410;LM;DN22008485;31000
22006668;410;LM;DN22007333;31000
22006691;410;LM;DN22007894;60000
22006691;410;LM;DN22007894;31000
22006690;410;LM;DN22008997;60000
22006695;210;LM;DN22008905;60000
22006694;210;LM;DN22007976;60000
22006692;210;LM;DN22009066;31020
22006687;410;LM;DN22009035;60000
22006685;410;LM;DN22008918;31020
22006683;410;LM;DN22009056;60000
22006689;410;LM;DN22008377;31000
22006688;410;LM;DN22008583;31020
22006688;410;LM;DN22008583;60000
22006664;410;LM;DN22007219;60000
22006645;210;LM;DN22008948;31020
22006644;410;LM;DN22008844;31000
22006643;410;LM;DN22007365;31030
22006649;410;LM;DN22009002;31000
22006645;210;LM;DN22008948;31000
22006645;210;LM;DN22008948;60000
22006640;410;LM;DN22008880;31020
22006638;410;LM;DN22008974;60000
22006637;210;LM;DN22007184;60000
22006643;410;LM;DN22007365;60000
22006642;410;LM;DN22008841;60000
22006641;410;LM;DN22008838;31000
22006660;210;LM;DN22009008;31000
22006658;410;LM;DN22008953;60000
22006658;410;LM;DN22008953;31020
22006663;410;LM;DN22007004;60000
22006662;410;LM;DN22008561;31000
22006661;410;LM;DN22008879;31000
22006652;410;LM;DN22008827;60000
22006651;210;LM;DN22008797;60000
22006650;210;LM;DN22008792;60000
22006657;410;LM;DN22008859;60000
22006657;410;LM;DN22008859;31020
22006656;410;LM;DN22008936;60000
